Batsman,Opponent,Total Runs,Venue
MK Tiwary,Delhi Daredevils,61,Feroz Shah Kotla
NV Ojha,Kolkata Knight Riders,1,Feroz Shah Kotla
RN ten Doeschate,Delhi Daredevils,19,Feroz Shah Kotla
SP Goswami,Delhi Daredevils,22,Feroz Shah Kotla
TR Birt,Kolkata Knight Riders,8,Feroz Shah Kotla
UT Yadav,Kolkata Knight Riders,1,Feroz Shah Kotla
V Sehwag,Kolkata Knight Riders,34,Feroz Shah Kotla
Y Nagar,Kolkata Knight Riders,19,Feroz Shah Kotla
Y Venugopal Rao,Kolkata Knight Riders,19,Feroz Shah Kotla
YK Pathan,Delhi Daredevils,5,Feroz Shah Kotla
A Symonds,Rajasthan Royals,17,Sawai Mansingh Stadium
AG Murtaza,Rajasthan Royals,2,Sawai Mansingh Stadium
AL Menaria,Mumbai Indians,4,Sawai Mansingh Stadium
AT Rayudu,Rajasthan Royals,11,Sawai Mansingh Stadium
DJ Jacobs,Rajasthan Royals,15,Sawai Mansingh Stadium
Harbhajan Singh,Rajasthan Royals,10,Sawai Mansingh Stadium
J Botha,Mumbai Indians,45,Sawai Mansingh Stadium
KA Pollard,Rajasthan Royals,4,Sawai Mansingh Stadium
LRPL Taylor,Mumbai Indians,13,Sawai Mansingh Stadium
R Dravid,Mumbai Indians,5,Sawai Mansingh Stadium
R Sathish,Rajasthan Royals,7,Sawai Mansingh Stadium
RG Sharma,Rajasthan Royals,13,Sawai Mansingh Stadium
SL Malinga,Rajasthan Royals,1,Sawai Mansingh Stadium
SR Tendulkar,Rajasthan Royals,7,Sawai Mansingh Stadium
SR Watson,Mumbai Indians,26,Sawai Mansingh Stadium
AB de Villiers,Pune Warriors,26,M Chinnaswamy Stadium
CH Gayle,Pune Warriors,49,M Chinnaswamy Stadium
Harpreet Singh,Royal Challengers Bangalore,1,M Chinnaswamy Stadium
JD Ryder,Royal Challengers Bangalore,51,M Chinnaswamy Stadium
M Kaif,Pune Warriors,8,M Chinnaswamy Stadium
M Manhas,Royal Challengers Bangalore,3,M Chinnaswamy Stadium
MK Pandey,Royal Challengers Bangalore,19,M Chinnaswamy Stadium
RV Uthappa,Royal Challengers Bangalore,23,M Chinnaswamy Stadium
SS Tiwary,Pune Warriors,14,M Chinnaswamy Stadium
TD Paine,Royal Challengers Bangalore,8,M Chinnaswamy Stadium
TM Dilshan,Pune Warriors,15,M Chinnaswamy Stadium
V Kohli,Pune Warriors,67,M Chinnaswamy Stadium
Yuvraj Singh,Royal Challengers Bangalore,41,M Chinnaswamy Stadium
B Akhil,Delhi Daredevils,13,Nehru Stadium
BB McCullum,Delhi Daredevils,7,Nehru Stadium
BJ Hodge,Delhi Daredevils,27,Nehru Stadium
DA Warner,Kochi Tuskers Kerala,3,Nehru Stadium
DPMD Jayawardene,Delhi Daredevils,18,Nehru Stadium
IK Pathan,Kochi Tuskers Kerala,13,Nehru Stadium
M Klinger,Delhi Daredevils,2,Nehru Stadium
NV Ojha,Kochi Tuskers Kerala,0,Nehru Stadium
PA Patel,Delhi Daredevils,1,Nehru Stadium
R Vinay Kumar,Delhi Daredevils,11,Nehru Stadium
RA Jadeja,Delhi Daredevils,31,Nehru Stadium
RE van der Merwe,Kochi Tuskers Kerala,2,Nehru Stadium
RP Singh,Delhi Daredevils,1,Nehru Stadium
RR Powar,Delhi Daredevils,0,Nehru Stadium
S Sreesanth,Delhi Daredevils,0,Nehru Stadium
TR Birt,Kochi Tuskers Kerala,20,Nehru Stadium
V Sehwag,Kochi Tuskers Kerala,80,Nehru Stadium
Y Nagar,Kochi Tuskers Kerala,22,Nehru Stadium
Y Venugopal Rao,Kochi Tuskers Kerala,1,Nehru Stadium
AC Gilchrist,Kolkata Knight Riders,26,Eden Gardens
AM Nayar,Kolkata Knight Riders,0,Eden Gardens
Bipul Sharma,Kolkata Knight Riders,16,Eden Gardens
DJ Hussey,Kolkata Knight Riders,15,Eden Gardens
EJG Morgan,Kings XI Punjab,28,Eden Gardens
G Gambhir,Kings XI Punjab,45,Eden Gardens
JH Kallis,Kings XI Punjab,1,Eden Gardens
KD Karthik,Kolkata Knight Riders,42,Eden Gardens
MK Tiwary,Kings XI Punjab,34,Eden Gardens
P Kumar,Kolkata Knight Riders,2,Eden Gardens
PC Valthaty,Kolkata Knight Riders,7,Eden Gardens
SE Marsh,Kolkata Knight Riders,5,Eden Gardens
AL Menaria,Pune Warriors,29,Sawai Mansingh Stadium
AM Rahane,Pune Warriors,15,Sawai Mansingh Stadium
Harpreet Singh,Rajasthan Royals,13,Sawai Mansingh Stadium
J Botha,Pune Warriors,12,Sawai Mansingh Stadium
JD Ryder,Rajasthan Royals,18,Sawai Mansingh Stadium
LRPL Taylor,Pune Warriors,47,Sawai Mansingh Stadium
M Manhas,Rajasthan Royals,24,Sawai Mansingh Stadium
MK Pandey,Rajasthan Royals,30,Sawai Mansingh Stadium
NL McCullum,Rajasthan Royals,11,Sawai Mansingh Stadium
R Dravid,Pune Warriors,18,Sawai Mansingh Stadium
R Sharma,Rajasthan Royals,0,Sawai Mansingh Stadium
RV Uthappa,Rajasthan Royals,35,Sawai Mansingh Stadium
SR Watson,Pune Warriors,12,Sawai Mansingh Stadium
Yuvraj Singh,Rajasthan Royals,7,Sawai Mansingh Stadium
A Mishra,Chennai Super Kings,2,"MA Chidambaram Stadium, Chepauk"
B Chipli,Chennai Super Kings,17,"MA Chidambaram Stadium, Chepauk"
CL White,Chennai Super Kings,13,"MA Chidambaram Stadium, Chepauk"
DT Christian,Chennai Super Kings,1,"MA Chidambaram Stadium, Chepauk"
I Sharma,Chennai Super Kings,1,"MA Chidambaram Stadium, Chepauk"
JA Morkel,Deccan Chargers,19,"MA Chidambaram Stadium, Chepauk"
JP Duminy,Chennai Super Kings,17,"MA Chidambaram Stadium, Chepauk"
KC Sangakkara,Chennai Super Kings,15,"MA Chidambaram Stadium, Chepauk"
M Vijay,Deccan Chargers,3,"MA Chidambaram Stadium, Chepauk"
MEK Hussey,Deccan Chargers,46,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Deccan Chargers,21,"MA Chidambaram Stadium, Chepauk"
S Anirudha,Deccan Chargers,3,"MA Chidambaram Stadium, Chepauk"
S Badrinath,Deccan Chargers,5,"MA Chidambaram Stadium, Chepauk"
S Dhawan,Chennai Super Kings,19,"MA Chidambaram Stadium, Chepauk"
S Sohal,Chennai Super Kings,56,"MA Chidambaram Stadium, Chepauk"
SK Raina,Deccan Chargers,59,"MA Chidambaram Stadium, Chepauk"
A Symonds,Kings XI Punjab,4,Wankhede Stadium
AC Gilchrist,Mumbai Indians,0,Wankhede Stadium
AM Nayar,Mumbai Indians,14,Wankhede Stadium
AT Rayudu,Kings XI Punjab,51,Wankhede Stadium
Bipul Sharma,Mumbai Indians,1,Wankhede Stadium
DJ Hussey,Mumbai Indians,1,Wankhede Stadium
DJ Jacobs,Kings XI Punjab,10,Wankhede Stadium
KA Pollard,Kings XI Punjab,20,Wankhede Stadium
KD Karthik,Mumbai Indians,1,Wankhede Stadium
P Kumar,Mumbai Indians,2,Wankhede Stadium
PC Valthaty,Mumbai Indians,33,Wankhede Stadium
PP Chawla,Mumbai Indians,10,Wankhede Stadium
RG Sharma,Kings XI Punjab,18,Wankhede Stadium
RJ Harris,Mumbai Indians,1,Wankhede Stadium
SE Marsh,Mumbai Indians,61,Wankhede Stadium
SR Tendulkar,Kings XI Punjab,51,Wankhede Stadium
BB McCullum,Delhi Daredevils,37,Feroz Shah Kotla
BJ Hodge,Delhi Daredevils,24,Feroz Shah Kotla
DA Warner,Kochi Tuskers Kerala,13,Feroz Shah Kotla
DPMD Jayawardene,Delhi Daredevils,7,Feroz Shah Kotla
IK Pathan,Kochi Tuskers Kerala,5,Feroz Shah Kotla
M Klinger,Delhi Daredevils,18,Feroz Shah Kotla
NV Ojha,Kochi Tuskers Kerala,13,Feroz Shah Kotla
PA Patel,Delhi Daredevils,37,Feroz Shah Kotla
RE van der Merwe,Kochi Tuskers Kerala,2,Feroz Shah Kotla
TR Birt,Kochi Tuskers Kerala,27,Feroz Shah Kotla
V Sehwag,Kochi Tuskers Kerala,15,Feroz Shah Kotla
Y Nagar,Kochi Tuskers Kerala,18,Feroz Shah Kotla
Y Venugopal Rao,Kochi Tuskers Kerala,40,Feroz Shah Kotla
A Mishra,Kolkata Knight Riders,9,"Rajiv Gandhi International Stadium, Uppal"
B Chipli,Kolkata Knight Riders,12,"Rajiv Gandhi International Stadium, Uppal"
CL White,Kolkata Knight Riders,13,"Rajiv Gandhi International Stadium, Uppal"
DB Ravi Teja,Kolkata Knight Riders,30,"Rajiv Gandhi International Stadium, Uppal"
DT Christian,Kolkata Knight Riders,1,"Rajiv Gandhi International Stadium, Uppal"
EJG Morgan,Deccan Chargers,14,"Rajiv Gandhi International Stadium, Uppal"
G Gambhir,Deccan Chargers,35,"Rajiv Gandhi International Stadium, Uppal"
JH Kallis,Deccan Chargers,30,"Rajiv Gandhi International Stadium, Uppal"
KC Sangakkara,Kolkata Knight Riders,0,"Rajiv Gandhi International Stadium, Uppal"
MK Tiwary,Deccan Chargers,33,"Rajiv Gandhi International Stadium, Uppal"
S Dhawan,Kolkata Knight Riders,54,"Rajiv Gandhi International Stadium, Uppal"
S Sohal,Kolkata Knight Riders,26,"Rajiv Gandhi International Stadium, Uppal"
YK Pathan,Deccan Chargers,47,"Rajiv Gandhi International Stadium, Uppal"
AL Menaria,Chennai Super Kings,2,"MA Chidambaram Stadium, Chepauk"
AM Rahane,Chennai Super Kings,4,"MA Chidambaram Stadium, Chepauk"
DH Yagnik,Chennai Super Kings,1,"MA Chidambaram Stadium, Chepauk"
J Botha,Chennai Super Kings,8,"MA Chidambaram Stadium, Chepauk"
LRPL Taylor,Chennai Super Kings,20,"MA Chidambaram Stadium, Chepauk"
M Vijay,Rajasthan Royals,5,"MA Chidambaram Stadium, Chepauk"
MEK Hussey,Rajasthan Royals,79,"MA Chidambaram Stadium, Chepauk"
R Dravid,Chennai Super Kings,66,"MA Chidambaram Stadium, Chepauk"
SK Raina,Rajasthan Royals,61,"MA Chidambaram Stadium, Chepauk"
SR Watson,Chennai Super Kings,32,"MA Chidambaram Stadium, Chepauk"
STR Binny,Chennai Super Kings,7,"MA Chidambaram Stadium, Chepauk"
A Symonds,Pune Warriors,3,Dr DY Patil Sports Academy
AA Jhunjhunwala,Mumbai Indians,10,Dr DY Patil Sports Academy
AC Blizzard,Pune Warriors,6,Dr DY Patil Sports Academy
AT Rayudu,Pune Warriors,27,Dr DY Patil Sports Academy
GC Smith,Mumbai Indians,6,Dr DY Patil Sports Academy
Harbhajan Singh,Pune Warriors,9,Dr DY Patil Sports Academy
JD Ryder,Mumbai Indians,0,Dr DY Patil Sports Academy
KA Pollard,Pune Warriors,28,Dr DY Patil Sports Academy
M Manhas,Mumbai Indians,0,Dr DY Patil Sports Academy
MK Pandey,Mumbai Indians,59,Dr DY Patil Sports Academy
R Sharma,Mumbai Indians,0,Dr DY Patil Sports Academy
RG Sharma,Pune Warriors,12,Dr DY Patil Sports Academy
RV Uthappa,Mumbai Indians,34,Dr DY Patil Sports Academy
SB Wagh,Mumbai Indians,0,Dr DY Patil Sports Academy
SR Tendulkar,Pune Warriors,24,Dr DY Patil Sports Academy
TL Suman,Pune Warriors,36,Dr DY Patil Sports Academy
Yuvraj Singh,Mumbai Indians,20,Dr DY Patil Sports Academy
B Lee,Kochi Tuskers Kerala,1,Nehru Stadium
BB McCullum,Kolkata Knight Riders,1,Nehru Stadium
BJ Hodge,Kolkata Knight Riders,35,Nehru Stadium
DPMD Jayawardene,Kolkata Knight Riders,55,Nehru Stadium
EJG Morgan,Kochi Tuskers Kerala,66,Nehru Stadium
G Gambhir,Kochi Tuskers Kerala,0,Nehru Stadium
JH Kallis,Kochi Tuskers Kerala,45,Nehru Stadium
M Klinger,Kolkata Knight Riders,29,Nehru Stadium
MK Tiwary,Kochi Tuskers Kerala,1,Nehru Stadium
MV Boucher,Kochi Tuskers Kerala,5,Nehru Stadium
PA Patel,Kolkata Knight Riders,21,Nehru Stadium
R Bhatia,Kochi Tuskers Kerala,1,Nehru Stadium
RA Jadeja,Kolkata Knight Riders,8,Nehru Stadium
RV Gomez,Kolkata Knight Riders,1,Nehru Stadium
YK Pathan,Kochi Tuskers Kerala,17,Nehru Stadium
AJ Finch,Deccan Chargers,0,"Rajiv Gandhi International Stadium, Uppal"
B Chipli,Delhi Daredevils,1,"Rajiv Gandhi International Stadium, Uppal"
DB Ravi Teja,Delhi Daredevils,2,"Rajiv Gandhi International Stadium, Uppal"
DT Christian,Delhi Daredevils,27,"Rajiv Gandhi International Stadium, Uppal"
I Malhotra,Delhi Daredevils,7,"Rajiv Gandhi International Stadium, Uppal"
IK Pathan,Deccan Chargers,12,"Rajiv Gandhi International Stadium, Uppal"
JP Duminy,Delhi Daredevils,55,"Rajiv Gandhi International Stadium, Uppal"
JR Hopes,Deccan Chargers,17,"Rajiv Gandhi International Stadium, Uppal"
KC Sangakkara,Delhi Daredevils,44,"Rajiv Gandhi International Stadium, Uppal"
NV Ojha,Deccan Chargers,7,"Rajiv Gandhi International Stadium, Uppal"
S Dhawan,Delhi Daredevils,29,"Rajiv Gandhi International Stadium, Uppal"
TR Birt,Deccan Chargers,4,"Rajiv Gandhi International Stadium, Uppal"
V Sehwag,Deccan Chargers,119,"Rajiv Gandhi International Stadium, Uppal"
Y Nagar,Deccan Chargers,7,"Rajiv Gandhi International Stadium, Uppal"
Y Venugopal Rao,Deccan Chargers,3,"Rajiv Gandhi International Stadium, Uppal"
A Mithun,Kings XI Punjab,6,M Chinnaswamy Stadium
AB de Villiers,Kings XI Punjab,27,M Chinnaswamy Stadium
AC Gilchrist,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
AM Nayar,Royal Challengers Bangalore,1,M Chinnaswamy Stadium
AUK Pathan,Kings XI Punjab,0,M Chinnaswamy Stadium
CH Gayle,Kings XI Punjab,107,M Chinnaswamy Stadium
KD Karthik,Royal Challengers Bangalore,20,M Chinnaswamy Stadium
L Ablish,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
M Kaif,Kings XI Punjab,3,M Chinnaswamy Stadium
P Kumar,Royal Challengers Bangalore,15,M Chinnaswamy Stadium
PC Valthaty,Royal Challengers Bangalore,21,M Chinnaswamy Stadium
PP Chawla,Royal Challengers Bangalore,5,M Chinnaswamy Stadium
R McLaren,Royal Challengers Bangalore,28,M Chinnaswamy Stadium
RJ Harris,Royal Challengers Bangalore,17,M Chinnaswamy Stadium
SE Marsh,Royal Challengers Bangalore,4,M Chinnaswamy Stadium
SS Tiwary,Kings XI Punjab,13,M Chinnaswamy Stadium
Sunny Singh,Royal Challengers Bangalore,4,M Chinnaswamy Stadium
TM Dilshan,Kings XI Punjab,16,M Chinnaswamy Stadium
V Kohli,Kings XI Punjab,27,M Chinnaswamy Stadium
EJG Morgan,Chennai Super Kings,5,Eden Gardens
G Gambhir,Chennai Super Kings,16,Eden Gardens
JA Morkel,Kolkata Knight Riders,30,Eden Gardens
JH Kallis,Chennai Super Kings,21,Eden Gardens
M Vijay,Kolkata Knight Riders,5,Eden Gardens
MEK Hussey,Kolkata Knight Riders,15,Eden Gardens
MK Tiwary,Chennai Super Kings,15,Eden Gardens
S Badrinath,Kolkata Knight Riders,54,Eden Gardens
SK Raina,Kolkata Knight Riders,4,Eden Gardens
A Symonds,Delhi Daredevils,4,Wankhede Stadium
AB Agarkar,Mumbai Indians,7,Wankhede Stadium
AC Blizzard,Delhi Daredevils,37,Wankhede Stadium
AT Rayudu,Delhi Daredevils,59,Wankhede Stadium
CA Ingram,Mumbai Indians,1,Wankhede Stadium
DA Warner,Mumbai Indians,1,Wankhede Stadium
IK Pathan,Mumbai Indians,23,Wankhede Stadium
JR Hopes,Mumbai Indians,55,Wankhede Stadium
KA Pollard,Delhi Daredevils,9,Wankhede Stadium
M Morkel,Mumbai Indians,10,Wankhede Stadium
NV Ojha,Mumbai Indians,1,Wankhede Stadium
RG Sharma,Delhi Daredevils,49,Wankhede Stadium
S Nadeem,Mumbai Indians,0,Wankhede Stadium
SR Tendulkar,Delhi Daredevils,14,Wankhede Stadium
V Sehwag,Mumbai Indians,2,Wankhede Stadium
Y Nagar,Mumbai Indians,0,Wankhede Stadium
Y Venugopal Rao,Mumbai Indians,37,Wankhede Stadium
BB McCullum,Royal Challengers Bangalore,22,M Chinnaswamy Stadium
BJ Hodge,Royal Challengers Bangalore,5,M Chinnaswamy Stadium
CH Gayle,Kochi Tuskers Kerala,44,M Chinnaswamy Stadium
DPMD Jayawardene,Royal Challengers Bangalore,3,M Chinnaswamy Stadium
M Klinger,Royal Challengers Bangalore,24,M Chinnaswamy Stadium
P Parameswaran,Royal Challengers Bangalore,1,M Chinnaswamy Stadium
PA Patel,Royal Challengers Bangalore,19,M Chinnaswamy Stadium
R Vinay Kumar,Royal Challengers Bangalore,3,M Chinnaswamy Stadium
RA Jadeja,Royal Challengers Bangalore,23,M Chinnaswamy Stadium
RR Powar,Royal Challengers Bangalore,8,M Chinnaswamy Stadium
RV Gomez,Royal Challengers Bangalore,7,M Chinnaswamy Stadium
TM Dilshan,Kochi Tuskers Kerala,52,M Chinnaswamy Stadium
V Kohli,Kochi Tuskers Kerala,27,M Chinnaswamy Stadium
AA Jhunjhunwala,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
AC Gilchrist,Pune Warriors,3,"Punjab Cricket Association Stadium, Mohali"
CJ Ferguson,Kings XI Punjab,6,"Punjab Cricket Association Stadium, Mohali"
DJ Hussey,Pune Warriors,4,"Punjab Cricket Association Stadium, Mohali"
JD Ryder,Kings XI Punjab,15,"Punjab Cricket Association Stadium, Mohali"
KD Karthik,Pune Warriors,30,"Punjab Cricket Association Stadium, Mohali"
MK Pandey,Kings XI Punjab,28,"Punjab Cricket Association Stadium, Mohali"
MR Marsh,Kings XI Punjab,2,"Punjab Cricket Association Stadium, Mohali"
Mandeep Singh,Pune Warriors,6,"Punjab Cricket Association Stadium, Mohali"
P Kumar,Pune Warriors,3,"Punjab Cricket Association Stadium, Mohali"
PC Valthaty,Pune Warriors,23,"Punjab Cricket Association Stadium, Mohali"
RJ Harris,Pune Warriors,4,"Punjab Cricket Association Stadium, Mohali"
RV Uthappa,Kings XI Punjab,22,"Punjab Cricket Association Stadium, Mohali"
SD Chitnis,Pune Warriors,9,"Punjab Cricket Association Stadium, Mohali"
SE Marsh,Pune Warriors,32,"Punjab Cricket Association Stadium, Mohali"
SJ Srivastava,Pune Warriors,1,"Punjab Cricket Association Stadium, Mohali"
Yuvraj Singh,Kings XI Punjab,35,"Punjab Cricket Association Stadium, Mohali"
A Singh,Chennai Super Kings,1,Sawai Mansingh Stadium
AL Menaria,Chennai Super Kings,2,Sawai Mansingh Stadium
AM Rahane,Chennai Super Kings,52,Sawai Mansingh Stadium
AS Raut,Chennai Super Kings,19,Sawai Mansingh Stadium
DH Yagnik,Chennai Super Kings,3,Sawai Mansingh Stadium
J Botha,Chennai Super Kings,14,Sawai Mansingh Stadium
JA Morkel,Rajasthan Royals,5,Sawai Mansingh Stadium
LRPL Taylor,Chennai Super Kings,6,Sawai Mansingh Stadium
M Vijay,Rajasthan Royals,53,Sawai Mansingh Stadium
MEK Hussey,Rajasthan Royals,46,Sawai Mansingh Stadium
MS Dhoni,Rajasthan Royals,41,Sawai Mansingh Stadium
R Dravid,Chennai Super Kings,20,Sawai Mansingh Stadium
SK Raina,Rajasthan Royals,43,Sawai Mansingh Stadium
SK Warne,Chennai Super Kings,0,Sawai Mansingh Stadium
SR Watson,Chennai Super Kings,11,Sawai Mansingh Stadium
A Mishra,Pune Warriors,0,"Rajiv Gandhi International Stadium, Uppal"
B Chipli,Pune Warriors,18,"Rajiv Gandhi International Stadium, Uppal"
CJ Ferguson,Deccan Chargers,15,"Rajiv Gandhi International Stadium, Uppal"
DB Ravi Teja,Pune Warriors,30,"Rajiv Gandhi International Stadium, Uppal"
DT Christian,Pune Warriors,10,"Rajiv Gandhi International Stadium, Uppal"
DW Steyn,Pune Warriors,11,"Rajiv Gandhi International Stadium, Uppal"
JD Ryder,Deccan Chargers,35,"Rajiv Gandhi International Stadium, Uppal"
JP Duminy,Pune Warriors,30,"Rajiv Gandhi International Stadium, Uppal"
KC Sangakkara,Pune Warriors,12,"Rajiv Gandhi International Stadium, Uppal"
MK Pandey,Deccan Chargers,49,"Rajiv Gandhi International Stadium, Uppal"
RV Uthappa,Deccan Chargers,1,"Rajiv Gandhi International Stadium, Uppal"
S Dhawan,Pune Warriors,24,"Rajiv Gandhi International Stadium, Uppal"
S Sohal,Pune Warriors,0,"Rajiv Gandhi International Stadium, Uppal"
SC Ganguly,Deccan Chargers,32,"Rajiv Gandhi International Stadium, Uppal"
Yuvraj Singh,Deccan Chargers,2,"Rajiv Gandhi International Stadium, Uppal"
A Symonds,Kings XI Punjab,8,"Punjab Cricket Association Stadium, Mohali"
AC Blizzard,Kings XI Punjab,15,"Punjab Cricket Association Stadium, Mohali"
AC Gilchrist,Mumbai Indians,28,"Punjab Cricket Association Stadium, Mohali"
AT Rayudu,Kings XI Punjab,13,"Punjab Cricket Association Stadium, Mohali"
Bipul Sharma,Mumbai Indians,6,"Punjab Cricket Association Stadium, Mohali"
DJ Hussey,Mumbai Indians,0,"Punjab Cricket Association Stadium, Mohali"
DS Kulkarni,Kings XI Punjab,2,"Punjab Cricket Association Stadium, Mohali"
Harbhajan Singh,Kings XI Punjab,12,"Punjab Cricket Association Stadium, Mohali"
KA Pollard,Kings XI Punjab,17,"Punjab Cricket Association Stadium, Mohali"
KD Karthik,Mumbai Indians,31,"Punjab Cricket Association Stadium, Mohali"
MM Patel,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
Mandeep Singh,Mumbai Indians,8,"Punjab Cricket Association Stadium, Mohali"
P Kumar,Mumbai Indians,2,"Punjab Cricket Association Stadium, Mohali"
PC Valthaty,Mumbai Indians,14,"Punjab Cricket Association Stadium, Mohali"
RG Sharma,Kings XI Punjab,5,"Punjab Cricket Association Stadium, Mohali"
RJ Harris,Mumbai Indians,6,"Punjab Cricket Association Stadium, Mohali"
SE Marsh,Mumbai Indians,43,"Punjab Cricket Association Stadium, Mohali"
SJ Srivastava,Mumbai Indians,3,"Punjab Cricket Association Stadium, Mohali"
SR Tendulkar,Kings XI Punjab,6,"Punjab Cricket Association Stadium, Mohali"
TL Suman,Kings XI Punjab,4,"Punjab Cricket Association Stadium, Mohali"
AL Menaria,Royal Challengers Bangalore,8,Sawai Mansingh Stadium
AM Rahane,Royal Challengers Bangalore,17,Sawai Mansingh Stadium
AS Raut,Royal Challengers Bangalore,5,Sawai Mansingh Stadium
CH Gayle,Rajasthan Royals,70,Sawai Mansingh Stadium
DH Yagnik,Royal Challengers Bangalore,2,Sawai Mansingh Stadium
J Botha,Royal Challengers Bangalore,19,Sawai Mansingh Stadium
LRPL Taylor,Royal Challengers Bangalore,13,Sawai Mansingh Stadium
R Dravid,Royal Challengers Bangalore,37,Sawai Mansingh Stadium
SR Watson,Royal Challengers Bangalore,34,Sawai Mansingh Stadium
TM Dilshan,Rajasthan Royals,38,Sawai Mansingh Stadium
V Kohli,Rajasthan Royals,39,Sawai Mansingh Stadium
AB McDonald,Chennai Super Kings,8,"MA Chidambaram Stadium, Chepauk"
CA Ingram,Chennai Super Kings,7,"MA Chidambaram Stadium, Chepauk"
DA Warner,Chennai Super Kings,21,"MA Chidambaram Stadium, Chepauk"
IK Pathan,Chennai Super Kings,44,"MA Chidambaram Stadium, Chepauk"
JR Hopes,Chennai Super Kings,8,"MA Chidambaram Stadium, Chepauk"
M Vijay,Delhi Daredevils,35,"MA Chidambaram Stadium, Chepauk"
MEK Hussey,Delhi Daredevils,5,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Delhi Daredevils,63,"MA Chidambaram Stadium, Chepauk"
NV Ojha,Chennai Super Kings,25,"MA Chidambaram Stadium, Chepauk"
S Badrinath,Delhi Daredevils,55,"MA Chidambaram Stadium, Chepauk"
SK Raina,Delhi Daredevils,14,"MA Chidambaram Stadium, Chepauk"
Y Nagar,Chennai Super Kings,1,"MA Chidambaram Stadium, Chepauk"
Y Venugopal Rao,Chennai Super Kings,30,"MA Chidambaram Stadium, Chepauk"
AC Gilchrist,Kochi Tuskers Kerala,9,Holkar Cricket Stadium
BB McCullum,Kings XI Punjab,32,Holkar Cricket Stadium
BJ Hodge,Kings XI Punjab,4,Holkar Cricket Stadium
DJ Hussey,Kochi Tuskers Kerala,21,Holkar Cricket Stadium
DPMD Jayawardene,Kings XI Punjab,76,Holkar Cricket Stadium
KD Karthik,Kochi Tuskers Kerala,69,Holkar Cricket Stadium
Mandeep Singh,Kochi Tuskers Kerala,15,Holkar Cricket Stadium
OA Shah,Kings XI Punjab,23,Holkar Cricket Stadium
PA Patel,Kings XI Punjab,0,Holkar Cricket Stadium
PC Valthaty,Kochi Tuskers Kerala,17,Holkar Cricket Stadium
R Vinay Kumar,Kings XI Punjab,1,Holkar Cricket Stadium
RA Jadeja,Kings XI Punjab,17,Holkar Cricket Stadium
RV Gomez,Kings XI Punjab,2,Holkar Cricket Stadium
SE Marsh,Kochi Tuskers Kerala,42,Holkar Cricket Stadium
AB de Villiers,Kolkata Knight Riders,13,M Chinnaswamy Stadium
CH Gayle,Kolkata Knight Riders,38,M Chinnaswamy Stadium
EJG Morgan,Royal Challengers Bangalore,2,M Chinnaswamy Stadium
G Gambhir,Royal Challengers Bangalore,7,M Chinnaswamy Stadium
JH Kallis,Royal Challengers Bangalore,17,M Chinnaswamy Stadium
KB Arun Karthik,Kolkata Knight Riders,1,M Chinnaswamy Stadium
LA Pomersbach,Kolkata Knight Riders,16,M Chinnaswamy Stadium
M Kaif,Kolkata Knight Riders,15,M Chinnaswamy Stadium
MK Tiwary,Royal Challengers Bangalore,19,M Chinnaswamy Stadium
MV Boucher,Royal Challengers Bangalore,1,M Chinnaswamy Stadium
SS Tiwary,Kolkata Knight Riders,1,M Chinnaswamy Stadium
V Kohli,Kolkata Knight Riders,15,M Chinnaswamy Stadium
YK Pathan,Royal Challengers Bangalore,36,M Chinnaswamy Stadium
A Mishra,Mumbai Indians,18,Wankhede Stadium
A Symonds,Deccan Chargers,8,Wankhede Stadium
AC Blizzard,Deccan Chargers,1,Wankhede Stadium
AT Rayudu,Deccan Chargers,2,Wankhede Stadium
B Chipli,Mumbai Indians,10,Wankhede Stadium
DT Christian,Mumbai Indians,18,Wankhede Stadium
Harbhajan Singh,Deccan Chargers,17,Wankhede Stadium
JP Duminy,Mumbai Indians,8,Wankhede Stadium
KA Pollard,Deccan Chargers,24,Wankhede Stadium
KC Sangakkara,Mumbai Indians,27,Wankhede Stadium
MJ Lumb,Mumbai Indians,0,Wankhede Stadium
RG Sharma,Deccan Chargers,4,Wankhede Stadium
S Dhawan,Mumbai Indians,27,Wankhede Stadium
S Sohal,Mumbai Indians,20,Wankhede Stadium
SR Tendulkar,Deccan Chargers,37,Wankhede Stadium
TL Suman,Deccan Chargers,14,Wankhede Stadium
AC Gilchrist,Delhi Daredevils,9,Himachal Pradesh Cricket Association Stadium
DA Warner,Kings XI Punjab,29,Himachal Pradesh Cricket Association Stadium
DJ Hussey,Delhi Daredevils,3,Himachal Pradesh Cricket Association Stadium
IK Pathan,Kings XI Punjab,3,Himachal Pradesh Cricket Association Stadium
JR Hopes,Kings XI Punjab,7,Himachal Pradesh Cricket Association Stadium
KD Karthik,Delhi Daredevils,27,Himachal Pradesh Cricket Association Stadium
M Morkel,Kings XI Punjab,16,Himachal Pradesh Cricket Association Stadium
Mandeep Singh,Delhi Daredevils,11,Himachal Pradesh Cricket Association Stadium
